Month, Hour, a, b, c, d, Pearson R
JAN,0,7.90565e-07,-2.02851e-04,2.11501e-02,2.54460,0.73479
JAN,1,8.28055e-07,-2.21681e-04,2.36867e-02,2.43187,0.74780
JAN,2,8.38033e-07,-2.23835e-04,2.43346e-02,2.27581,0.69272
JAN,3,1.15180e-06,-2.97142e-04,2.91027e-02,1.98789,0.69097
JAN,4,1.73805e-06,-4.02670e-04,3.33327e-02,1.83780,0.69055
JAN,5,2.27286e-06,-6.26045e-04,7.20487e-02,1.69694,0.75281
JAN,6,3.11709e-06,-8.92768e-04,1.13874e-01,1.63768,0.75036
JAN,7,2.10330e-06,-5.07494e-04,7.72148e-02,3.73249,0.88782
JAN,8,1.81468e-06,-4.12676e-04,6.84730e-02,4.53689,0.95807
JAN,9,1.53984e-06,-3.45412e-04,6.42974e-02,4.71461,0.97446
JAN,10,1.03446e-06,-1.89180e-04,5.10503e-02,4.87721,0.97651
JAN,11,4.97373e-07,-7.20747e-05,4.42383e-02,4.97333,0.98163
JAN,12,5.66524e-07,-8.15902e-05,4.26057e-02,4.89586,0.98148
JAN,13,3.87027e-07,-2.14090e-05,3.62029e-02,4.55206,0.97762
JAN,14,1.13040e-06,-1.68971e-04,4.00386e-02,3.89076,0.96719
JAN,15,-1.82686e-07,1.32068e-04,1.71150e-02,3.33376,0.95488
JAN,16,4.47531e-07,-1.96154e-06,1.66930e-02,2.71032,0.92843
JAN,17,1.08230e-06,-1.88644e-04,2.21337e-02,2.24859,0.86458
JAN,18,1.99112e-06,-4.39743e-04,3.53064e-02,1.99310,0.81812
JAN,19,1.79554e-06,-4.44481e-04,3.80822e-02,2.02724,0.78685
JAN,20,1.58584e-06,-4.03075e-04,3.50919e-02,2.19590,0.73545
JAN,21,1.34046e-06,-3.55868e-04,3.31565e-02,2.26131,0.71687
JAN,22,1.26556e-06,-3.45194e-04,3.32577e-02,2.29423,0.70748
JAN,23,9.62960e-07,-2.48244e-04,2.41030e-02,2.50009,0.72155
FEB,0,1.22647e-06,-2.99275e-04,2.96495e-02,2.43659,0.83604
FEB,1,1.13228e-06,-2.74226e-04,2.76165e-02,2.43045,0.80073
FEB,2,1.24912e-06,-3.00982e-04,2.91139e-02,2.32235,0.79875
FEB,3,1.28691e-06,-2.90275e-04,2.65900e-02,2.16558,0.79351
FEB,4,1.55488e-06,-3.68108e-04,3.71517e-02,1.97941,0.78089
FEB,5,3.23535e-06,-9.05896e-04,1.00818e-01,1.63337,0.69002
FEB,6,2.35541e-06,-5.88436e-04,8.06311e-02,3.07528,0.80470
FEB,7,2.84466e-06,-6.48155e-04,7.93995e-02,4.17859,0.90928
FEB,8,3.06719e-06,-7.14896e-04,8.70893e-02,4.49919,0.95474
FEB,9,2.54528e-06,-5.81726e-04,7.98149e-02,4.85321,0.97480
FEB,10,2.11262e-06,-4.75078e-04,7.24164e-02,4.99500,0.98327
FEB,11,1.24601e-06,-2.63331e-04,5.93504e-02,4.98111,0.98676
FEB,12,1.31395e-06,-2.79656e-04,5.93289e-02,4.94717,0.98707
FEB,13,8.42153e-07,-1.67718e-04,5.23277e-02,4.84278,0.98962
FEB,14,1.83663e-07,3.70865e-05,3.33359e-02,4.68933,0.98479
FEB,15,8.08502e-07,-9.10390e-05,3.69653e-02,3.99835,0.97529
FEB,16,1.48082e-06,-2.46842e-04,3.92255e-02,3.31772,0.95199
FEB,17,9.00036e-07,-1.07505e-04,2.32793e-02,3.05082,0.93725
FEB,18,8.95533e-07,-1.23966e-04,1.90394e-02,2.77089,0.92907
FEB,19,1.34543e-06,-2.58769e-04,2.55897e-02,2.50600,0.92197
FEB,20,1.80656e-06,-3.98404e-04,3.44614e-02,2.37209,0.89110
FEB,21,1.59456e-06,-3.65108e-04,3.32243e-02,2.36840,0.88306
FEB,22,1.72503e-06,-4.13271e-04,3.69620e-02,2.34428,0.84887
FEB,23,1.40388e-06,-3.42297e-04,3.27498e-02,2.41418,0.84499
MAR,0,8.24208e-07,-1.71735e-04,2.60950e-02,2.59313,0.95388
MAR,1,8.70148e-07,-1.85602e-04,2.68486e-02,2.48515,0.94981
MAR,2,1.09793e-06,-2.44441e-04,2.96696e-02,2.39617,0.93802
MAR,3,1.10241e-06,-2.46013e-04,3.09353e-02,2.29593,0.91060
MAR,4,2.19094e-06,-5.71153e-04,6.55648e-02,2.24011,0.80906
MAR,5,2.36588e-06,-5.77385e-04,6.94312e-02,3.07991,0.84645
MAR,6,1.27773e-06,-2.72003e-04,5.20950e-02,4.03285,0.90057
MAR,7,2.34868e-06,-5.15047e-04,6.71701e-02,4.44542,0.91773
MAR,8,1.97737e-06,-3.98850e-04,6.05847e-02,4.79153,0.91791
MAR,9,1.72773e-06,-3.53810e-04,6.09131e-02,4.97568,0.92946
MAR,10,1.38863e-06,-2.77742e-04,5.68656e-02,5.11232,0.94293
MAR,11,9.60515e-07,-1.69692e-04,4.99992e-02,5.15322,0.95370
MAR,12,8.90528e-07,-1.60855e-04,4.90478e-02,5.06468,0.95517
MAR,13,8.33794e-07,-1.59544e-04,4.89661e-02,4.94386,0.97293
MAR,14,8.03249e-07,-1.56589e-04,4.80018e-02,4.81188,0.97765
MAR,15,3.17272e-07,-5.37641e-05,4.21171e-02,4.63582,0.98658
MAR,16,9.63179e-07,-1.82449e-04,4.26164e-02,4.30838,0.98067
MAR,17,1.81171e-06,-4.12003e-04,5.34251e-02,3.73746,0.96949
MAR,18,1.28745e-06,-2.75888e-04,4.08143e-02,3.44547,0.95543
MAR,19,9.31139e-07,-1.62446e-04,2.72912e-02,3.27635,0.96190
MAR,20,9.81908e-07,-1.61211e-04,2.29690e-02,3.10996,0.96365
MAR,21,1.04002e-06,-1.84195e-04,2.46885e-02,2.90102,0.95126
MAR,22,1.10147e-06,-2.08938e-04,2.69292e-02,2.73381,0.94187
MAR,23,9.57992e-07,-1.86052e-04,2.62628e-02,2.67483,0.94897
APR,0,5.67256e-07,-1.04020e-04,2.78602e-02,2.76574,0.96320
APR,1,6.64547e-07,-1.15855e-04,2.65799e-02,2.63173,0.95477
APR,2,1.16624e-06,-2.40269e-04,3.46348e-02,2.46366,0.92891
APR,3,2.30619e-06,-5.38126e-04,5.79153e-02,2.53166,0.87281
APR,4,2.24625e-06,-4.99346e-04,5.69605e-02,3.19058,0.86569
APR,5,1.55418e-06,-3.10178e-04,4.77327e-02,3.85654,0.89815
APR,6,1.29010e-06,-2.47304e-04,4.77980e-02,4.26306,0.90371
APR,7,9.54418e-07,-1.84388e-04,4.87512e-02,4.62227,0.91426
APR,8,1.00431e-06,-2.07437e-04,5.31288e-02,4.87131,0.93589
APR,9,1.18532e-06,-2.30600e-04,5.27378e-02,5.13430,0.94502
APR,10,7.21461e-07,-1.30050e-04,4.84753e-02,5.12227,0.95308
APR,11,2.44110e-07,-2.12726e-05,4.11744e-02,5.17790,0.96765
APR,12,-1.02625e-08,2.68364e-05,3.83886e-02,5.13417,0.97263
APR,13,-2.58544e-07,5.90150e-05,3.74371e-02,5.06148,0.97707
APR,14,-3.98989e-07,9.09474e-05,3.41321e-02,5.03131,0.97919
APR,15,-1.60735e-07,2.50625e-05,3.79068e-02,4.95251,0.97662
APR,16,5.20824e-08,-4.75078e-05,4.19595e-02,4.89638,0.98036
APR,17,4.91647e-07,-1.38863e-04,4.08977e-02,4.81065,0.97898
APR,18,1.17338e-06,-2.61257e-04,4.02311e-02,4.65409,0.97169
APR,19,1.25562e-06,-2.68475e-04,3.57522e-02,4.40133,0.95851
APR,20,7.06147e-07,-1.17923e-04,2.53369e-02,4.01363,0.97495
APR,21,5.57166e-07,-8.84047e-05,2.51846e-02,3.54716,0.97558
APR,22,9.73757e-07,-2.01024e-04,3.39167e-02,3.13530,0.96752
