Month,Hour,a,b,c,d,Pearson R,dF
JAN,0,8.68936e-07,-2.28161e-04,2.35111e-02,2.48754,0.72845,0.43583            
JAN,1,9.27719e-07,-2.54335e-04,2.68133e-02,2.35181,0.74667,0.68873            
JAN,2,9.54634e-07,-2.61795e-04,2.79350e-02,2.18510,0.69163,0.76123            
JAN,3,1.25626e-06,-3.31190e-04,3.23318e-02,1.90705,0.68491,0.66304            
JAN,4,1.86246e-06,-4.42389e-04,3.69696e-02,1.75374,0.68244,0.54240            
JAN,5,2.51227e-06,-7.00634e-04,7.85936e-02,1.56024,0.74178,0.65055            
JAN,6,3.70064e-06,-1.06172e-03,1.27634e-01,1.37219,0.73942,1.19298            
JAN,7,2.28534e-06,-5.60202e-04,8.15074e-02,3.64966,0.88319,0.37216            
JAN,8,2.03052e-06,-4.75168e-04,7.35625e-02,4.43870,0.95643,0.44125            
JAN,9,1.75546e-06,-4.07841e-04,6.93818e-02,4.61652,0.97349,0.44081            
JAN,10,1.32112e-06,-2.72552e-04,5.78956e-02,4.74240,0.97620,0.65405            
JAN,11,5.99634e-07,-1.01683e-04,4.66496e-02,4.92681,0.98108,0.20906            
JAN,12,6.47989e-07,-1.05177e-04,4.45266e-02,4.85880,0.98093,0.16654            
JAN,13,4.75502e-07,-4.70255e-05,3.82891e-02,4.51181,0.97713,0.18088            
JAN,14,1.35187e-06,-2.34215e-04,4.55182e-02,3.77683,0.96738,0.65679            
JAN,15,-1.58746e-07,1.24628e-04,1.77648e-02,3.32036,0.95431,0.06533            
JAN,16,3.84958e-07,1.74847e-05,1.49948e-02,2.74534,0.92662,-0.17075            
JAN,17,1.06598e-06,-1.83572e-04,2.16906e-02,2.25772,0.86023,-0.04454            
JAN,18,2.08723e-06,-4.69609e-04,3.79147e-02,1.93933,0.81195,0.26225            
JAN,19,1.91449e-06,-4.82081e-04,4.14669e-02,1.95201,0.77905,0.46761            
JAN,20,1.69870e-06,-4.38447e-04,3.82282e-02,2.12873,0.72470,0.37359            
JAN,21,1.46502e-06,-3.94877e-04,3.66104e-02,2.18759,0.70516,0.40551            
JAN,22,1.38753e-06,-3.83753e-04,3.67272e-02,2.21725,0.69575,0.47615            
JAN,23,1.05281e-06,-2.76854e-04,2.67100e-02,2.44048,0.71253,0.40013            
FEB,0,1.34598e-06,-3.35605e-04,3.28822e-02,2.35836,0.83410,0.64335            
FEB,1,1.23884e-06,-3.06636e-04,3.05281e-02,2.35772,0.79866,0.63666            
FEB,2,1.35540e-06,-3.34092e-04,3.21870e-02,2.24153,0.79885,0.75808            
FEB,3,1.40487e-06,-3.26301e-04,2.98309e-02,2.08475,0.79430,0.70771            
FEB,4,1.68677e-06,-4.06630e-04,4.03471e-02,1.91269,0.77365,0.41206            
FEB,5,3.60620e-06,-1.01270e-03,1.09446e-01,1.46455,0.67676,0.87300            
FEB,6,2.46074e-06,-6.18642e-04,8.30518e-02,3.02885,0.79674,0.22594            
FEB,7,2.94604e-06,-6.77226e-04,8.17293e-02,4.13391,0.90573,0.21746            
FEB,8,3.35418e-06,-7.97199e-04,9.36851e-02,4.37269,0.95305,0.61563            
FEB,9,2.72383e-06,-6.32931e-04,8.39185e-02,4.77451,0.97384,0.38302            
FEB,10,2.25139e-06,-5.14875e-04,7.56057e-02,4.93383,0.98264,0.29768            
